Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,News Sentiments
01-12-2017,155.2053255,155.5466834,153.067284,155.2951508,4279200,0,0,-1.60573856
04-12-2017,155.6545045,155.8431472,153.1032228,153.3008575,3943100,0,0,-0.75100617
05-12-2017,155.9868663,156.5348511,154.9268377,155.4029541,3228700,0,0,-0.973470928
06-12-2017,155.8431244,156.7055319,155.4119275,155.8431244,2618700,0,0,-3.025746136
07-12-2017,155.0076689,155.6724278,154.4417136,155.3310699,2284800,0,0,-2.170967675
08-12-2017,155.4478745,155.897042,154.9717581,155.5466919,2241100,0,0,-2.834160033
11-12-2017,155.3580083,155.6364899,154.7112062,155.6364899,2340800,0,0,1.923657549
12-12-2017,155.4119365,155.5916008,154.3788569,154.7202148,2805900,0,0,-2.175721851
13-12-2017,154.9088385,156.2743111,154.8728975,155.9059906,2554000,0,0,0.56908275
14-12-2017,156.0048272,156.3821261,155.2592076,155.5376892,2666900,0,0,-1.883553772
15-12-2017,156.5797716,157.2894501,156.0227946,156.3641663,7435200,0,0,2.363015777
18-12-2017,157.0918272,157.9093153,156.4090976,156.4899445,2426300,0,0,-1.683909975
19-12-2017,156.6605875,157.1187333,155.4837712,155.7622528,3122500,0,0,-0.998052103
20-12-2017,156.1575446,156.2024641,154.2530792,154.6663055,2749400,0,0,2.745738137
21-12-2017,155.0526117,155.1873564,154.2171531,154.3788605,2343300,0,0,0.819797347
22-12-2017,154.3518959,154.5495169,153.2110068,153.9925537,3234100,0,0,1.652925521
26-12-2017,153.696114,154.1902009,153.4535734,153.8757782,1280200,0,0,0.580984517
27-12-2017,153.9117131,155.1783685,153.4805162,155.1154785,1596800,0,0,0.61550844
28-12-2017,155.6455085,155.9060333,155.0705746,155.5017853,1800100,0,0,1.468614199
29-12-2017,155.3939522,155.3939522,154.4417194,154.6213837,2201800,0,0,1.021444023
02-01-2018,156.0677192,156.7414704,155.106508,155.6095734,3696900,0,0,-2.085479772
03-01-2018,155.6185248,155.9868453,154.5135769,154.9537659,3789600,0,0,0.944885044
04-01-2018,155.6275603,156.4270779,155.1694007,156.0407867,2756400,0,0,0.079885965
05-01-2018,156.3102441,157.2085788,155.7712378,156.3551636,3737700,0,0,-0.854920763
08-01-2018,156.0767034,156.4989219,155.3490406,156.2473755,2060800,0,0,-1.661576174
09-01-2018,156.5168717,156.5168717,155.4209021,155.8970184,2674300,0,0,0.936617544
10-01-2018,155.8611235,156.310291,154.9358396,155.8701019,2172500,0,0,1.389915818
11-01-2018,155.9149681,156.8043243,154.6034071,155.7622528,3078000,0,0,-1.837921883
12-01-2018,155.7353549,156.1216323,155.3041579,155.9240112,2901600,0,0,1.825974233
16-01-2018,155.9688987,156.678591,155.3041397,156.0227966,3662600,0,0,-1.551615459
17-01-2018,156.6246712,157.8284365,156.2024528,157.1906128,4129600,0,0,1.593614327
18-01-2018,157.3792746,157.6128367,156.220415,156.8223114,2154800,0,0,3.220985613
19-01-2018,157.1996582,158.6819055,156.6516732,158.2147675,3746300,0,0,0.236022289
22-01-2018,158.079988,158.8525565,157.7565869,158.2955933,3217900,0,0,2.829810055
23-01-2018,157.720653,159.6790164,157.0738509,158.8345795,3197600,0,0,0.448562946
24-01-2018,159.27481,159.27481,157.4332203,158.2147675,2810800,0,0,0.444597986
